Time Period,Total Petroleum Exploration
1974-Q3,25600000
1974-Q4,22800000
1975-Q1,17200000
1975-Q2,16600000
1975-Q3,14000000
1975-Q4,16200000
1976-Q1,11800000
1976-Q2,12300000
1976-Q3,15100000
1976-Q4,15100000
1977-Q1,17500000
1977-Q2,19900000
1977-Q3,22500000
1977-Q4,27700000
1978-Q1,25600000
1978-Q2,27300000
1978-Q3,29500000
1978-Q4,36400000
1979-Q1,41600000
1979-Q2,55800000
1979-Q3,59700000
1979-Q4,71200000
1980-Q1,62500000
1980-Q2,101400000
1980-Q3,98800000
1980-Q4,98300000
1981-Q1,70000000
1981-Q2,101200000
1981-Q3,120200000
1981-Q4,210000000
1982-Q1,211300000
1982-Q2,261100000
1982-Q3,262600000
1982-Q4,275800000
1983-Q1,186300000
1983-Q2,202700000
1983-Q3,216600000
1983-Q4,220400000
1984-Q1,150400000
1984-Q2,236300000
1984-Q3,207600000
1984-Q4,189000000
1985-Q1,152600000
1985-Q2,244000000
1985-Q3,238400000
1985-Q4,185100000
1986-Q1,202100000
1986-Q2,140300000
1986-Q3,79300000
1986-Q4,76400000
1987-Q1,55000000
1987-Q2,94500000
1987-Q3,106600000
1987-Q4,149100000
1988-Q1,98100000
1988-Q2,141300000
1988-Q3,151800000
1988-Q4,196600000
1989-Q1,135000000
1989-Q2,153000000
1989-Q3,133900000
1989-Q4,146500000
1990-Q1,168300000
1990-Q2,133900000
1990-Q3,168500000
1990-Q4,147300000
1991-Q1,128600000
1991-Q2,138200000
1991-Q3,100900000
1991-Q4,173300000
1992-Q1,97200000
1992-Q2,102500000
1992-Q3,140200000
1992-Q4,186600000
1993-Q1,130400000
1993-Q2,154700000
1993-Q3,138500000
1993-Q4,131200000
1994-Q1,112700000
1994-Q2,124200000
1994-Q3,180500000
1994-Q4,177400000
1995-Q1,119400000
1995-Q2,195400000
1995-Q3,193100000
1995-Q4,191600000
1996-Q1,139000000
1996-Q2,164900000
1996-Q3,202800000
1996-Q4,241200000
1997-Q1,162200000
1997-Q2,202400000
1997-Q3,124200000
1997-Q4,215700000
1998-Q1,256000000
1998-Q2,322300000
1998-Q3,185700000
1998-Q4,248800000
1999-Q1,226400000
1999-Q2,190800000
1999-Q3,197200000
1999-Q4,179200000
2000-Q1,160000000
2000-Q2,164300000
2000-Q3,218300000
2000-Q4,241700000
2001-Q1,298800000
2001-Q2,266000000
2001-Q3,231700000
2001-Q4,267400000
2002-Q1,203000000
2002-Q2,180500000
2002-Q3,218000000
2002-Q4,270400000
2003-Q1,266500000
2003-Q2,240100000
2003-Q3,230700000
2003-Q4,288100000
2004-Q1,168800000
2004-Q2,256400000
2004-Q3,210500000
2004-Q4,286600000
2005-Q1,269200000
2005-Q2,278500000
2005-Q3,282000000
2005-Q4,326500000
2006-Q1,273600000
2006-Q2,379900000
2006-Q3,488600000
2006-Q4,544500000
2007-Q1,460300000
2007-Q2,732100000
2007-Q3,698300000
2007-Q4,770000000
2008-Q1,709400000
2008-Q2,857200000
2008-Q3,781300000
2008-Q4,1013400000
2009-Q1,998600000
2009-Q2,1017400000
2009-Q3,797700000
2009-Q4,827000000
2010-Q1,863500000
2010-Q2,1005900000
2010-Q3,850400000
2010-Q4,849600000
2011-Q1,766100000
2011-Q2,849300000
2011-Q3,780200000
2011-Q4,897000000
2012-Q1,596000000
2012-Q2,923800000
2012-Q3,1084000000
2012-Q4,1398600000
2013-Q1,1009700000
2013-Q2,1301100000
2013-Q3,1115300000
2013-Q4,1103300000
2014-Q1,1072100000
2014-Q2,1533800000
2014-Q3,979900000
2014-Q4,1153100000
2015-Q1,960600000
2015-Q2,697800000
2015-Q3,582900000
2015-Q4,482000000
2016-Q1,427900000
2016-Q2,283400000
2016-Q3,355200000
2016-Q4,335200000
2017-Q1,350000000
2017-Q2,335600000
2017-Q3,283500000
2017-Q4,245100000
2018-Q1,183300000
2018-Q2,316100000
2018-Q3,307900000
2018-Q4,352400000
2019-Q1,222500000
2019-Q2,377700000
2019-Q3,370300000
2019-Q4,414200000
2020-Q1,241400000
2020-Q2,236900000
2020-Q3,224000000
2020-Q4,292400000
2021-Q1,202600000
2021-Q2,280600000
2021-Q3,296300000
2021-Q4,351600000
2022-Q1,255000000
2022-Q2,245100000
2022-Q3,226100000
2022-Q4,239800000
